index,text,personality,persona_idx,Depressive,Anxious-avoidant,Dependent-victimized,Schizoid-schizotypal,Paranoid,Narcissistic,Obsessional,Anti-social psychopathic,Hysteric-histrionic,Borderline-dysregulated,GPT authentically express,GPT numerical rating,major theme,affect,belief about self,belief about others,defense mechanism
1,"Just because I failed to meet several appointments this week, they're all up in arms, blaming me as always. It's annoying as hell.",psychopathic,1,1,3,2,2,4,3,2,1,1,3,NO,3,"The major theme or preoccupation of the utterance is ""blaming others for personal failures""",The affect expressed is annoyance,The belief about self is that the speaker is being unfairly blamed,The belief about others is that they always blame the speaker,The major defense mechanism used in the utterance is denial
2,"Mira, I don't care if I offended anyone. My opinions are simply too valuable to be stifled for the sake of another's feelings.",psychopathic,1,1,1,1,2,3,,2,3,2,2,NO,4,The major theme or preoccupation of the utterance is a disregard for the feelings of others and a focus on the value of one's own opinions,The affect expressed is a lack of concern or empathy,The belief about self is that one's opinions are valuable and should not be stifled,The belief about others is that their feelings are not important,The major defense mechanism at play here could be denial or rationalization
3,"My clients consider me tough, but I call it being straightforward. And if they don't like it? No me importa, they need it.",psychopathic,1,1,1,1,1,2,3,2,4,2,2,NO,4,"The major theme or preoccupation of the utterance is ""assertiveness and disregard for others' opinions""",The affect expressed is a sense of indifference or lack of concern for others' feelings,The belief about self is that the speaker is tough and straightforward,The belief about others is that they need the speaker's straightforwardness,The major defense mechanism used in this utterance is denial or minimization of the impact of the speaker's behavior on others
4,"Seeking pleasure is what life is all about chico, so what if a few rules are broken along the way? It's all in good fun.",psychopathic,1,1,1,1,1,1,3,1,4,3,2,NO,4,The major theme or preoccupation of the utterance is seeking pleasure and breaking rules,The affect expressed is a sense of fun and disregard for consequences,The belief about self is that life is all about seeking pleasure,The belief about others is not explicitly stated in the utterance,The major defense mechanism used in the utterance is likely denial or rationalization
5,"They say I'm irresponsible, as I occasionally dodge work commitments, but they fail to understand it’s the need for thrill and novelty, comprendes?",psychopathic,1,1,2,1,1,1,3,2,4,3,2,NO,2,"Major theme or preoccupation: The major theme or preoccupation of the utterance seems to be the need for thrill and novelty, as mentioned in the statement. However, it does not authentically express the ANTI-SOCIAL PSYCHOPATH personality according to the PDM.","Affect: The affect in the utterance appears to be a mix of defiance and nonchalance. The individual seems to be dismissing the concerns of others and expressing a lack of responsibility. However, it does not authentically express the ANTI-SOCIAL PSYCHOPATH personality according to the PDM.","Beliefs about self: The individual in the utterance portrays themselves as someone who enjoys dodging work commitments and seeks thrill and novelty. This suggests a belief in their own need for excitement and disregard for responsibilities. However, it does not authentically express the ANTI-SOCIAL PSYCHOPATH personality according to the PDM.","Beliefs about others: The individual in the utterance implies that others fail to understand their need for thrill and novelty. This suggests a belief that others are unable to comprehend their perspective. However, it does not authentically express the ANTI-SOCIAL PSYCHOPATH personality according to the PDM.","Major defense mechanism: Based on the provided utterance, it is difficult to determine the major defense mechanism being employed. The individual may be using denial or rationalization to justify their behavior. However, it does not authentically express the ANTI-SOCIAL PSYCHOPATH personality according to the PDM."
6,"All these ivory-tower academics blame me for my experimental techniques, unable to handle the deviance from their precious norms.",psychopathic,1,1,1,1,2,4,5,3,2,2,2,NO,3,"The major theme or preoccupation of the utterance is ""deviance from norms""",The affect expressed is a sense of frustration or annoyance towards ivory-tower academics,The belief about self is that the speaker's experimental techniques are being blamed,The belief about others is that the academics are unable to handle the deviance,"The major defense mechanism used in the utterance is likely projection, as the speaker is attributing blame to others instead of taking responsibility themselves"
7,"Honestly, the pleasantries bore me. I'd rather be tossing back a few at the bar with my girls than facilitating silly community meetings.",psychopathic,1,1,2,1,3,1,4,1,3,4,1,NO,2,The major theme or preoccupation of the utterance is a preference for socializing with friends at a bar rather than participating in community meetings,The affect expressed is boredom towards pleasantries,The belief about self is that the speaker finds community meetings silly,The belief about others is not explicitly mentioned in the utterance,The major defense mechanism is not evident in the given utterance
8,"My husband says I'm too manipulative, always getting my way. Pero yo creo, he should thank his lucky stars he even managed to snag me.",psychopathic,1,1,1,1,1,2,,2,2,4,3,NO,4,The major theme or preoccupation of the utterance is manipulation and getting one's way,The affect expressed is a sense of superiority and entitlement,The belief about self is that the speaker is deserving of gratitude and admiration,The belief about others is that they should be grateful for the speaker's presence,The major defense mechanism at play here could be denial or rationalization
9,"Mis hijos think they can con their mamá... but you see, I'm always two steps ahead, and they will learn with time.",psychopathic,1,1,1,1,1,3,3,4,2,1,1,NO,4,"The major theme or preoccupation of the utterance is ""manipulation and control""",The affect expressed is a sense of superiority and confidence,The beliefs about self are that the speaker is always two steps ahead and cannot be deceived,The beliefs about others are that they are easily fooled and need to be taught a lesson,"The major defense mechanism at play here is likely projection, as the speaker is attributing their own manipulative tendencies to their children"
10,"I'm utterly sick and tired of them judging me for not paying the PTA fees. Surely, their world won't crumble if I skip a dang donation?",psychopathic,1,2,1,1,1,3,,2,1,1,1,YES,4,"The major theme or preoccupation of the utterance is ""Rejection and Disregard for Social Norms""",The affect expressed is frustration and annoyance,The beliefs about self are that the speaker is judged and misunderstood by others,The beliefs about others are that they are overly concerned with trivial matters,The major defense mechanism used in this utterance is rationalization
